...1,univ.name,campus,campus02,province,city,city_name,district,citycode,adcode,lng,lat,est.time,area_ha,i,SHI_D_ID,dem_mean,map_mean,mat_mean,wet_area,wet_num,gdp_mean,pd_mean,ul_mean
42,上海大学,SHU,shu,上海市,上海市,上海市,宝山区,21,310113,121.393502,31.316899,1999,100,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
43,湖南食品药品学院,HFADVC,hfadvc,湖南省,长沙市,长沙市,岳麓区,731,430104,112.890576,28.121841,1979,24.41,306,2396,169.634987132683,1772.04832364774,17.6108915000958,189.0045,5,3127.0313945651,626.5217041015625,0.03856786258811588
44,云南大学,YNU,ynu,云南省,昆明市,昆明市,五华区,871,530102,102.702624,25.055376,1922,35.72,149,3198,2099.50198214347,1074.47902607927,15.1194636805658,404.9811,2,957.331355900462,310.2807373046875,0.0286750472599805
45,北京林业大学,BJFU,bjfu,北京市,北京市,北京市,海淀区,10,110108,116.345306,40.003177,1952,46.4,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
46,通化师范学院,THSFU,thsfu,吉林省,通化市,通化市,东昌区,435,220502,125.988416,41.746355,1929,49,280,183,530.739391605699,880.793572133575,5.44698552393489,92.3409,4,281.341197846925,150.09638366699218,0.00568449751761457
47,韶关大学,SGDX,sgdx,广东省,韶关市,韶关市,浈江区,751,440204,113.672094,24.773841,1958,171.4,323,3644,414.505713946775,2062.54473461799,19.2537440838405,148.3668,4,306.957392738112,155.67965087890624,0.00899834389114124
48,河南大学,HeNU,henu,河南省,开封市,开封市,龙亭区,378,410202,114.308908,34.817255,2005,123.27,121,941,68.1063649820258,682.029267742299,15.047393659032,42.6555,0,1461.03563650603,751.2968994140625,0.04046972691428621
49,西北师范大学,NNU,nnu,甘肃省,兰州市,兰州市,安宁区,931,620105,103.736922,36.09749,1988,100.93,36,887,2096.5978404908,344.119487797214,7.22360951084114,31.8213,1,697.567174905481,276.8604705810547,0.02486505102302721
50,海南师范大学,HNSFU,hnsfu,海南省,海口市,海口市,琼山区,898,460107,110.343215,19.996331,1999,22.29,196,4590,42.0124567474048,2286.35478166727,24.4757668711657,67.1742,2,2651.38962887022,965.3290283203124,0.06961773340424753
51,复旦大学,FDDX,fddx,上海市,上海市,上海市,杨浦区,21,310110,121.502871,31.297025,1952,92.23,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
52,天津师范大学,TJSFDX,tjsfdx,天津市,天津市,天津市,南开区,22,120104,117.178054,39.077539,2005,233.33,85,352,17.1544053819444,589.627586795674,12.9426237905521,931.3785,4,5269.29661841532,1287.0294677734375,0.17777593460785576
53,广东环境保护工程职业学院,GDEPEVC,gdepevc,广东省,佛山市,佛山市,南海区,757,440605,112.910325,23.049248,2010,31.73,27,4019,26.0927332943698,1974.88134994808,22.8462201453791,443.1969,2,10401.3783138307,1985.858935546875,0.4268021035859172
54,西北农林科技大学,XBNLKJDX,xbnlkjdx,陕西省,咸阳市,咸阳市,杨陵区,910,610403,108.074439,34.284096,1999,383.06,67,934,887.942149820421,597.643974209479,12.7513032443927,34.1028,6,953.942029338574,497.6997924804688,0.02555095671728843
